Original_Log,Cleaned_Log,Cluster_ID,Category
[Sun Dec 04 04:47:44 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:47:44 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:51:08 2005] [notice] jk2_init() Found child 6725 in scoreboard slot 10,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6726 in scoreboard slot 8,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6728 in scoreboard slot 6,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:51:37 2005] [notice] jk2_init() Found child 6736 in scoreboard slot 10,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:38 2005] [notice] jk2_init() Found child 6733 in scoreboard slot 7,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:38 2005] [notice] jk2_init() Found child 6734 in scoreboard slot 9,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:51:52 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:51:52 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:51:55 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:52:04 2005] [notice] jk2_init() Found child 6738 in scoreboard slot 6,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:04 2005] [notice] jk2_init() Found child 6741 in scoreboard slot 9,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:05 2005] [notice] jk2_init() Found child 6740 in scoreboard slot 7,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:05 2005] [notice] jk2_init() Found child 6737 in scoreboard slot 8,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6748 in scoreboard slot 6,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6744 in scoreboard slot 10,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6745 in scoreboard slot 8,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:52:49 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:52:49 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:52:52 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6750 in scoreboard slot 7,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6751 in scoreboard slot 9,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:05 2005] [notice] jk2_init() Found child 6752 in scoreboard slot 10,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:53:15 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:53:16 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:53:29 2005] [notice] jk2_init() Found child 6754 in scoreboard slot 8,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:29 2005] [notice] jk2_init() Found child 6755 in scoreboard slot 6,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:40 2005] [notice] jk2_init() Found child 6756 in scoreboard slot 7,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:53:51 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:53:54 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6763 in scoreboard slot 10,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6766 in scoreboard slot 6,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6767 in scoreboard slot 7,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:54:15 2005] [notice] jk2_init() Found child 6765 in scoreboard slot 8,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:54:18 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 6,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:54:18 2005] [error] mod_jk child workerEnv in error state 7,sun dec        error  mod_jk child workerenv in error state,9,app_log
[Sun Dec 04 04:54:20 2005] [notice] jk2_init() Found child 6768 in scoreboard slot 9,sun dec        notice  jk_init   found child  in scoreboard slot,12,app_log
[Sun Dec 04 04:54:20 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,sun dec        notice  workerenv init   ok  etc httpd conf workers properties,3,app_log
